date,close,close_adjusted
2018-09-26,266.3400,236.4969
2018-09-27,267.0800,237.1540
2018-09-28,267.0500,237.1274
2018-10-01,268.0400,238.0065
2018-10-02,268.0100,237.9798
2018-10-03,268.2400,238.1841
2018-10-04,266.0400,236.2306
2018-10-05,264.5400,234.8986
2018-10-08,264.4700,234.8365
2018-10-09,264.1300,234.5346
2018-10-10,255.6000,226.9603
2018-10-11,250.2200,222.1832
2018-10-12,253.6000,225.1844
2018-10-15,252.2100,223.9502
2018-10-16,257.5800,228.7185
2018-10-17,257.6700,228.7984
2018-10-18,254.0500,225.5840
2018-10-19,253.8500,225.4065
2018-10-22,252.8000,224.4741
2018-10-23,251.2800,223.1244
2018-10-24,243.7800,216.4648
2018-10-25,248.1500,220.3452
2018-10-26,243.7600,216.4471
2018-10-29,242.5000,215.3282
2018-10-30,246.2100,218.6225
2018-10-31,248.7900,220.9134
2018-11-01,251.3700,223.2044
2018-11-02,249.8100,221.8191
2018-11-05,251.2300,223.0800
2018-11-06,252.8200,224.4919
2018-11-07,258.1600,229.2335
2018-11-08,257.7200,228.8428
2018-11-09,255.3400,226.7295
2018-11-12,250.4100,222.3519
2018-11-13,249.9900,221.9790
2018-11-14,248.2800,220.4606
2018-11-15,250.8500,222.7426
2018-11-16,251.4900,223.3109
2018-11-19,247.3200,219.6082
2018-11-20,242.7700,215.5679
2018-11-21,243.5800,216.2872
2018-11-23,242.0100,214.8931
2018-11-26,245.8000,218.2585
2018-11-27,246.5700,218.9422
2018-11-28,252.3300,224.0568
2018-11-29,251.8100,223.5950
2018-11-30,253.4800,225.0779
2018-12-03,256.6100,227.8572
2018-12-04,248.6500,220.7891
2018-12-06,248.0200,220.2297
2018-12-07,242.2600,215.1151
2018-12-10,242.5500,215.3726
2018-12-11,242.6200,215.4348
2018-12-12,243.9600,216.6246
2018-12-13,243.8800,216.5536
2018-12-14,239.3800,212.5578
2018-12-17,233.2300,208.2181
2018-12-18,233.1400,208.1377
2018-12-19,229.4200,204.8167
2018-12-20,225.6500,201.4510
2018-12-21,221.1600,197.4425
2018-12-24,215.0700,192.0057
2018-12-26,225.9500,201.7188
2018-12-27,228.0500,203.5936
2018-12-28,227.7600,203.3347
2018-12-31,229.8100,205.1648
2019-01-02,229.9900,205.3256
2019-01-03,224.5000,200.4243
2019-01-04,231.9100,207.0396
2019-01-07,233.6500,208.5930
2019-01-08,235.9200,210.6196
2019-01-09,237.0100,211.5927
2019-01-10,238.0000,212.4765
2019-01-11,237.8900,212.3783
2019-01-14,236.5800,211.2088
2019-01-15,239.3500,213.6818
2019-01-16,239.8800,214.1550
2019-01-17,241.6700,215.7530
2019-01-18,244.9200,218.6544
2019-01-22,241.6600,215.7440
2019-01-23,242.0200,216.0654
2019-01-24,242.2600,216.2797
2019-01-25,244.3200,218.1188
2019-01-28,242.4300,216.4315
2019-01-29,242.1300,216.1636
2019-01-30,245.9600,219.5829
2019-01-31,248.0100,221.4130
2019-02-01,248.2200,221.6005
2019-02-04,249.9900,223.1807
2019-02-05,251.1000,224.1717
2019-02-06,250.7900,223.8949
2019-02-07,248.3300,221.6988
2019-02-08,248.6500,221.9844
2019-02-11,248.7800,222.1005
2019-02-12,252.0000,224.9752
2019-02-13,252.7600,225.6537
2019-02-14,252.2000,225.1537
2019-02-15,254.9800,227.6356
2019-02-19,255.4200,228.0284
2019-02-20,256.0100,228.5551
2019-02-21,255.0800,227.7249
2019-02-22,256.6100,229.0908
2019-02-25,256.9900,229.4300
2019-02-26,256.8000,229.2604
2019-02-27,256.6700,229.1444
2019-02-28,256.0700,228.6087
2019-03-01,257.8300,230.1800
2019-03-04,256.8400,229.2961
2019-03-05,256.5400,229.0283
2019-03-06,254.9000,227.5642
2019-03-07,252.8500,225.7340
2019-03-08,252.3400,225.2787
2019-03-11,256.0200,228.5641
2019-03-12,256.9300,229.3765
2019-03-13,258.6800,230.9388
2019-03-14,258.5900,230.8584
2019-03-15,259.8500,231.9833
2019-03-18,260.7800,232.8136
2019-03-19,260.8600,232.8850
2019-03-20,259.9300,232.0547
2019-03-21,261.4300,234.7077
2019-03-22,256.4600,230.2457
2019-03-25,256.2300,230.0392
2019-03-26,258.0800,231.7001
2019-03-27,256.8800,230.6228
2019-03-28,257.8800,231.5206
2019-03-29,259.5400,233.0109
2019-04-01,262.5300,235.6953
2019-04-02,262.6200,235.7761
2019-04-03,263.1100,236.2160
2019-04-04,263.7400,236.7816
2019-04-05,265.0100,237.9218
2019-04-08,265.2400,238.1282
2019-04-09,263.8300,236.8623
2019-04-10,264.7400,237.6793
2019-04-11,264.6900,237.6345
2019-04-12,266.4800,239.2416
2019-04-15,266.3000,239.0799
2019-04-16,266.4900,239.2505
2019-04-17,265.8400,238.6670
2019-04-18,266.3400,239.1158
2019-04-22,266.6000,239.3492
2019-04-23,268.9000,241.4142
2019-04-24,268.3700,240.9382
2019-04-25,268.2700,240.8486
2019-04-26,269.5000,241.9528
2019-04-29,269.8400,242.2581
2019-04-30,270.0100,242.4107
2019-05-01,268.0400,240.6421
2019-05-02,267.5100,240.1662
